geometry,Feature:string,Label:string,Diff Erosion:boolean,Septum:boolean,Too eroded:boolean,Superposition:boolean,Diff Depth:boolean,Second Look:boolean,Radial Ejecta Lobes:boolean
"LINESTRING (320.76663 -8.28148, 320.30307 -8.0188)",polyline,1624-5132,,,,,,,
"LINESTRING (28.019079999999974 30.9737, 28.36097000000001 30.57033)",polyline,1627-2847,,,,,,,
"LINESTRING (95.23881 21.25792, 94.70924000000002 21.60043)",polyline,1633-3789,,,,,,,
"LINESTRING (79.41886999999997 43.47966, 79.96066000000002 43.99548)",polyline,1640-2645,,,,,,,
"LINESTRING (222.55972 -18.77551, 222.87511 -19.20804)",polyline,1642-2281,,,,,,,
"LINESTRING (313.21222 2.29909, 313.33591 2.74401)",polyline,1646-1983,,,,,,,
"LINESTRING (213.59766 20.32699, 213.82724 20.5555)",polyline,1651-4181,,,,,,,
"LINESTRING (297.64844 18.96094, 297.10898 19.20325)",polyline,1656-3741,,,,,,,
"LINESTRING (346.78351 -23.99813, 346.08469 -23.93597)",polyline,1658-2490,,,,,,,
"LINESTRING (327.90848 43.96201, 327.33981 44.11968)",polyline,1659-4616,,,,,,,
"LINESTRING (0.0112100000000055 17.3318, 359.7084 17.69336)",polyline,1670-8272,,,,,,,
"LINESTRING (249.61195 -12.321, 249.47385 -12.79776)",polyline,1677-5901,,,,,,,
"LINESTRING (313.72958 -4.08082, 314.36218 -4.04408)",polyline,1685-3002,,,,,,,
"LINESTRING (313.72958 -4.08082, 314.23343 -4.24421)",polyline,1685-7630,,,,,,,
"LINESTRING (281.8378 25.96025, 282.16553 26.34912)",polyline,1693-6601,,,,,,,
"LINESTRING (255.29689 -8.58196, 254.59601 -8.63199)",polyline,1707-1761,,,,,,,
"LINESTRING (317.6174 9.19989, 318.00296 8.92151)",polyline,1726-2615,,,,,,,
"LINESTRING (252.03207 -22.23744, 251.79793 -21.91869)",polyline,1728-7543,,,,,,,
"LINESTRING (158.66304 14.56711, 158.27132 14.14347)",polyline,1733-3188,,,,,,,
"LINESTRING (158.66304 14.56711, 159.23454 14.69474)",polyline,1733-4197,,,,,,,
"LINESTRING (305.42563 2.54365, 305.30472 2.73324)",polyline,1737-4662,,,,,,,
"LINESTRING (344.33936 31.07238, 344.94867 31.1586)",polyline,1743-4028,,,,,,,
"LINESTRING (49.36700999999999 21.1584, 49.73043000000001 21.35994)",polyline,1754-2302,,,,,,,
"LINESTRING (154.34042 -9.95335, 154.10339 -9.51853)",polyline,1760-8138,,,,,,,
"LINESTRING (254.59601 -8.63199, 254.71709 -8.98703)",polyline,1761-3011,,,,,,,
"LINESTRING (232.02461 10.02977, 232.5499 9.88601)",polyline,1763-3940,,,,,,,
"LINESTRING (326.80917 28.11157, 326.13464 28.10475)",polyline,1770-3231,,,,,,,
"LINESTRING (93.87995000000001 51.76598, 93.32411000000002 51.36309)",polyline,1774-1904,,,,,,,
"LINESTRING (214.92622 49.28946, 214.26112 49.05085)",polyline,1781-4014,,,,,,,
"LINESTRING (110.89271 30.69719, 111.43376 30.23204)",polyline,1787-2404,,,,,,,
"LINESTRING (96.90421000000003 52.51264, 96.62317999999999 51.95492)",polyline,1789-2691,,,,,,,
"LINESTRING (312.56659 -1.32615, 312.08456 -1.72805)",polyline,1792-2830,,,,,,,
"LINESTRING (278.01199 1.90415, 277.90582 2.28528)",polyline,1798-5431,,,,,,,
"LINESTRING (71.19835 44.32593, 70.79518999999999 43.94466)",polyline,1805-7171,,,,,,,
"LINESTRING (147.92944 18.46619, 147.9949 18.768)",polyline,1812-5847,,,,,,,
"LINESTRING (7.9032399999999825 37.12506, 7.872389999999996 36.72079)",polyline,1815-4974,,,,,,,
"LINESTRING (205.01094 17.22031, 204.96094 17.57324)",polyline,1823-3416,,,,,,,
"LINESTRING (150.53549 -28.35456, 151.05563 -28.09109)",polyline,1826-8687,,,,,,,
"LINESTRING (175.1387 12.18354, 175.15051 11.56501)",polyline,1829-3223,,,,,,,
"LINESTRING (104.94945999999999 49.12352, 104.86848 49.59662)",polyline,1836-3537,,,,,,,
"LINESTRING (135.37035 59.61328, 135.86642 59.9713)",polyline,1837-3903,,,,,,,
"LINESTRING (281.88394 32.58879, 281.384 32.57082)",polyline,1844-8001,,,,,,,
"LINESTRING (45.56360000000001 2.52874, 45.50950999999998 2.84102)",polyline,1845-7878,,,,,,,
"LINESTRING (313.57773 50.53156, 314.14566 50.58525)",polyline,1846-7843,,,,,,,
"LINESTRING (278.51834 17.15378, 278.83902 17.36147)",polyline,1850-3428,,,,,,,
"LINESTRING (278.51834 17.15378, 278.19363 17.44188)",polyline,1850-6289,,,,,,,
"LINESTRING (216.12514 13.2786, 216.39372 13.84612)",polyline,1855-2323,,,,,,,
"LINESTRING (184.1424 12.42725, 184.07893 11.89387)",polyline,1856-5031,,,,,,,
"LINESTRING (212.84962 32.05801, 212.35899 31.89362)",polyline,1872-7618,,,,,,,
"LINESTRING (212.84962 32.05801, 212.73369 32.36942)",polyline,1872-8155,,,,,,,
"LINESTRING (204.38693 -38.40766, 204.41753 -37.78265)",polyline,1877-1967,,,,,,,
"LINESTRING (159.12148 28.01896, 158.83002 27.52183)",polyline,1884-4563,,,,,,,
"LINESTRING (159.12148 28.01896, 159.59779 27.67308)",polyline,1884-5675,,,,,,,
"LINESTRING (202.7093 18.68459, 202.49226 18.57468)",polyline,1890-6435,,,,,,,
"LINESTRING (216.12729 -50.61266, 216.26694 -50.08367)",polyline,1891-7254,,,,,,,
"LINESTRING (26.079349999999977 10.13997, 26.09617000000003 10.74834)",polyline,1893-2403,,,,,,,
"LINESTRING (166.67271 -5.94075, 167.04552 -5.58549)",polyline,1896-6800,,,,,,,
"LINESTRING (163.9949 -22.68192, 163.68015 -22.4836)",polyline,1902-3137,,,,,,,
"LINESTRING (163.9949 -22.68192, 164.47264 -22.88662)",polyline,1902-5095,,,,,,,
"LINESTRING (172.41743 12.06024, 172.89952 12.35167)",polyline,1921-4645,,,,,,,
"LINESTRING (23.91212999999999 22.1499, 23.43795 22.39253)",polyline,1922-8471,,,,,,,
"LINESTRING (261.72147 -10.52717, 261.3252 -10.15829)",polyline,1924-3005,,,,,,,
"LINESTRING (183.24113 12.216, 183.04227 12.56415)",polyline,1925-3010,,,,,,,
"LINESTRING (3.9866700000000037 0.62241, 4.423130000000015 0.92302)",polyline,1930-8251,,,,,,,
"LINESTRING (154.43359 52.86552, 154.8806 53.11753)",polyline,1944-2306,,,,,,,
"LINESTRING (210.48628 -2.0123, 210.9828 -2.22656)",polyline,1947-4053,,,,,,,
"LINESTRING (210.48628 -2.0123, 210.28806 -1.78896)",polyline,1947-8456,,,,,,,
"LINESTRING (33.76533999999998 37.83228, 34.032460000000015 37.22858)",polyline,1950-2367,,,,,,,
"LINESTRING (204.41753 -37.78265, 204.97025 -38.01968)",polyline,1967-6212,,,,,,,
"LINESTRING (165.08963 -4.84941, 165.04327 -4.33748)",polyline,1979-5453,,,,,,,
"LINESTRING (203.94414 -30.35106, 203.41457 -30.14242)",polyline,1985-4136,,,,,,,
"LINESTRING (74.02429999999998 -14.01691, 73.48295999999999 -14.01469)",polyline,1993-3516,,,,,,,
"LINESTRING (341.59982 16.32343, 342.1933 16.63714)",polyline,1997-2277,,,,,,,
"LINESTRING (260.37582 -10.20996, 259.73938 -10.28843)",polyline,2005-2173,,,,,,,
"LINESTRING (71.52771000000001 -35.37182, 71.33350000000002 -35.34107)",polyline,2008-6602,,,,,,,
"LINESTRING (210.47951 -43.68287, 211.1147 -43.85329)",polyline,2009-6614,,,,,,,
"LINESTRING (210.47951 -43.68287, 210.07515 -43.73482)",polyline,2009-7258,,,,,,,
"LINESTRING (244.80998 -9.29142, 244.60089 -9.19976)",polyline,2013-8176,,,,,,,
"LINESTRING (329.1376 31.66758, 329.51343 31.47995)",polyline,2014-5512,,,,,,,
"LINESTRING (313.04889 55.02055, 313.71085 55.10214)",polyline,2016-2901,,,,,,,
"LINESTRING (118.71904999999998 -7.85524, 119.24752999999998 -7.91377)",polyline,2028-3305,,,,,,,
"LINESTRING (246.2852 -1.32613, 246.31578 -1.89287)",polyline,2037-2814,,,,,,,
"LINESTRING (57.006579999999985 21.35166, 56.45600000000002 21.10163)",polyline,2040-3241,,,,,,,
"LINESTRING (348.70746 27.40813, 348.19131 27.51255)",polyline,2044-5305,,,,,,,
"LINESTRING (177.09032 24.53593, 177.21088 24.01165)",polyline,2052-6308,,,,,,,
"LINESTRING (180.79471 -58.99919, 180.06004 -59.23025)",polyline,2053-4047,,,,,,,
"LINESTRING (270.03552 37.52337, 270.55701 37.23132)",polyline,2061-6531,,,,,,,
"LINESTRING (285.11621 28.1694, 285.58649 28.53343)",polyline,2069-4363,,,,,,,
"LINESTRING (245.61201 -6.4069, 245.05807 -6.12631)",polyline,2076-2510,,,,,,,
"LINESTRING (212.06253 7.491, 212.13515 8.00331)",polyline,2077-6503,,,,,,,
"LINESTRING (357.46463 20.30858, 357.67535 20.69483)",polyline,2083-5321,,,,,,,
"LINESTRING (111.67991 -20.08987, 112.10300999999998 -19.75496)",polyline,2088-5859,,,,,,,
"LINESTRING (287.80542 56.93988, 288.66943 57.03655)",polyline,2094-5151,,,,,,,
"LINESTRING (245.625 -2.42188, 246.05714 -2.56785)",polyline,2101-8595,,,,,,,
"LINESTRING (151.80814 -28.12798, 152.37294 -27.74672)",polyline,2102-2289,,,,,,,
"LINESTRING (100.86239999999998 43.06855, 100.97289999999998 42.63296)",polyline,2121-3145,,,,,,,
"LINESTRING (352.28329 20.58078, 352.81 20.72499)",polyline,2125-4768,,,,,,,
"LINESTRING (104.44119999999998 -5.80195, 104.56161 -6.15903)",polyline,2126-3104,,,,,,,
"LINESTRING (50.80907000000002 21.63953, 50.923490000000015 22.08427)",polyline,2127-8118,,,,,,,
"LINESTRING (29.695280000000025 37.03667, 29.633370000000014 36.52839)",polyline,2131-6385,,,,,,,
"LINESTRING (242.10603 -27.36187, 242.07339 -27.94754)",polyline,2137-2535,,,,,,,
"LINESTRING (321.33484 7.45237, 321.63617 7.08409)",polyline,2141-2275,,,,,,,
"LINESTRING (334.37408 53.27516, 333.76501 53.32212)",polyline,2148-7535,,,,,,,
"LINESTRING (158.74573 -2.94818, 158.89618 -3.5626)",polyline,2150-2228,,,,,,,
"LINESTRING (158.74573 -2.94818, 158.13766 -2.87985)",polyline,2150-2741,,,,,,,
"LINESTRING (179.20659 -29.68775, 179.31064 -29.88549)",polyline,2152-5242,,,,,,,
"LINESTRING (30.95420999999999 11.91208, 30.952499999999986 11.5423)",polyline,2156-6837,,,,,,,
"LINESTRING (134.31122 -7.47983, 134.83768 -7.43838)",polyline,2157-7286,,,,,,,
"LINESTRING (341.61658 27.46032, 342.08127 27.66983)",polyline,2158-4408,,,,,,,
"LINESTRING (308.13031 17.81116, 308.19409 17.39062)",polyline,2168-4062,,,,,,,
"LINESTRING (358.1268 26.11233, 357.94125 26.42265)",polyline,2172-6069,,,,,,,
"LINESTRING (259.73938 -10.28843, 259.61368 -10.58341)",polyline,2173-3753,,,,,,,
"LINESTRING (323.27142 9.98663, 323.6637 9.6807)",polyline,2183-7358,,,,,,,
"LINESTRING (323.27142 9.98663, 322.94849 10.32264)",polyline,2183-8729,,,,,,,
"LINESTRING (242.95811 3.85362, 242.45502 3.51985)",polyline,2185-2266,,,,,,,
"LINESTRING (316.41754 2.66997, 316.83878 2.6002)",polyline,2192-4173,,,,,,,
"LINESTRING (115.31657000000001 -31.74377, 114.85320000000002 -32.05843)",polyline,2196-6914,,,,,,,
"LINESTRING (351.64838 18.58192, 352.09579 18.77785)",polyline,2202-8424,,,,,,,
"LINESTRING (145.13792 -17.78127, 145.60165 -18.0319)",polyline,2209-3335,,,,,,,
"LINESTRING (268.90048 28.86604, 268.34763 28.69773)",polyline,2213-2607,,,,,,,
"LINESTRING (94.66149999999999 -24.51023, 94.82098000000002 -24.98479)",polyline,2226-8312,,,,,,,
"LINESTRING (336.31476 1.11423, 336.07315 0.76695)",polyline,2232-8524,,,,,,,
"LINESTRING (226.56152 6.13459, 226.23859 6.16874)",polyline,2241-7333,,,,,,,
"LINESTRING (5.671260000000018 20.78727, 5.420059999999978 21.26884)",polyline,2252-3578,,,,,,,
"LINESTRING (103.62772999999999 46.23751, 103.36755 46.5345)",polyline,2259-7325,,,,,,,
"LINESTRING (158.33427 -18.7894, 158.05861 -18.40308)",polyline,2261-4840,,,,,,,
"LINESTRING (206.52075 23.47947, 206.58189 22.98613)",polyline,2267-5276,,,,,,,
"LINESTRING (321.63617 7.08409, 322.08145 7.34155)",polyline,2275-4007,,,,,,,
"LINESTRING (342.1933 16.63714, 341.76703 16.94858)",polyline,2277-2624,,,,,,,
"LINESTRING (74.16737 17.14168, 73.93092000000001 16.68904)",polyline,2282-3612,,,,,,,
"LINESTRING (276.4678 -4.95351, 276.06552 -4.59232)",polyline,2290-4278,,,,,,,
"LINESTRING (197.06407 27.07224, 197.58449 26.94233)",polyline,2293-7555,,,,,,,
"LINESTRING (254.88258 24.94515, 255.27676 25.09159)",polyline,2296-5952,,,,,,,
"LINESTRING (165.48932 9.01948, 165.85085 8.5798)",polyline,2297-2355,,,,,,,
"LINESTRING (16.69015999999999 35.85985, 16.06504000000001 35.92832)",polyline,2307-3659,,,,,,,
"LINESTRING (177.28125 18.20341, 177.28125 18.61496)",polyline,2309-6338,,,,,,,
"LINESTRING (195.90866 -9.88935, 196.37337 -9.83692)",polyline,2315-5640,,,,,,,
"LINESTRING (143.24014 -15.90594, 142.99075 -16.30248)",polyline,2329-4847,,,,,,,
"LINESTRING (143.24014 -15.90594, 143.48621 -16.33632)",polyline,2329-6087,,,,,,,
"LINESTRING (143.11015 -7.85727, 142.94473 -8.27297)",polyline,2331-4650,,,,,,,
"LINESTRING (252.83151 21.20599, 252.40175 21.05473)",polyline,2346-7439,,,,,,,
"LINESTRING (197.9884 -31.40003, 198.59903 -31.33083)",polyline,2353-5424,,,,,,,
"LINESTRING (42.20418000000001 17.32918, 41.69628 17.1379)",polyline,2356-6199,,,,,,,
"LINESTRING (335.06201 -6.26647, 334.77435 -6.18647)",polyline,2359-6904,,,,,,,
"LINESTRING (183.03168 24.94046, 182.62648 25.15202)",polyline,2361-7835,,,,,,,
"LINESTRING (202.46788 -31.43025, 202.21352 -31.10739)",polyline,2362-7452,,,,,,,
"LINESTRING (90.89256999999998 59.22886, 90.73869000000002 59.57188)",polyline,2368-3434,,,,,,,
"LINESTRING (143.76865 -21.83016, 143.2332 -21.63511)",polyline,2370-2565,,,,,,,
"LINESTRING (283.87625 23.40137, 283.32162 23.4223)",polyline,2379-7566,,,,,,,
"LINESTRING (277.03732 -17.13878, 276.69791 -17.06336)",polyline,2381-8349,,,,,,,
"LINESTRING (83.25421 51.45478, 83.87002999999999 51.16789)",polyline,2386-5507,,,,,,,
"LINESTRING (258.54407 -2.61106, 258.18719 -2.27879)",polyline,2388-6526,,,,,,,
"LINESTRING (24.72253999999998 39.66336, 25.004380000000026 39.35784)",polyline,2408-5736,,,,,,,
"LINESTRING (50.507349999999974 27.85089, 50.92793 28.06551)",polyline,2416-8002,,,,,,,
"LINESTRING (229.23169 9.7053, 229.33975 9.2389)",polyline,2426-4248,,,,,,,
"LINESTRING (218.84641 -22.53192, 219.09499 -22.20167)",polyline,2428-7030,,,,,,,
"LINESTRING (220.29422 -19.56516, 220.07559 -19.12025)",polyline,2431-8066,,,,,,,
"LINESTRING (201.83047 -11.88759, 202.306 -12.01882)",polyline,2435-6461,,,,,,,
"LINESTRING (196.05795 40.43964, 196.46074 40.90437)",polyline,2437-3730,,,,,,,
"LINESTRING (156.95924 -4.8564, 157.35017 -5.16294)",polyline,2439-4537,,,,,,,
"LINESTRING (140.14124 -45.63331, 140.4837 -45.12617)",polyline,2441-2696,,,,,,,
"LINESTRING (189.80623 -39.82904, 190.10838 -40.19894)",polyline,2442-3746,,,,,,,
"LINESTRING (132.72292 -2.13799, 133.10698 -2.31641)",polyline,2458-4914,,,,,,,
"LINESTRING (348.60077 -21.359, 348.57886 -21.63661)",polyline,2470-3318,,,,,,,
"LINESTRING (72.70960000000002 10.13654, 72.96663999999998 9.7024)",polyline,2471-5922,,,,,,,
"LINESTRING (248.66669 -10.39555, 248.79687 -9.92171)",polyline,2481-8784,,,,,,,
"LINESTRING (183.69902 51.35927, 184.32533 51.51562)",polyline,2482-6516,,,,,,,
"LINESTRING (163.81747 34.68589, 163.59656 34.56874)",polyline,2488-6039,,,,,,,
"LINESTRING (160.71448 -18.06734, 160.28839 -17.88909)",polyline,2496-3361,,,,,,,
"LINESTRING (160.71448 -18.06734, 161.04167 -18.35677)",polyline,2496-6742,,,,,,,
"LINESTRING (177.63319 -50.17844, 177.58725 -49.74156)",polyline,2518-6547,,,,,,,
"LINESTRING (189.32101 -2.89062, 188.83424 -3.03737)",polyline,2521-3272,,,,,,,
"LINESTRING (329.04687 -19.8987, 329.43582 -19.53406)",polyline,2522-5853,,,,,,,
"LINESTRING (139.03711 -8.19824, 139.22748 -8.6174)",polyline,2542-4236,,,,,,,
"LINESTRING (241.54008 -2.69378, 241.93291 -2.49982)",polyline,2549-8803,,,,,,,
"LINESTRING (6.7404900000000225 51.03671, 6.1905100000000175 51.31665)",polyline,2551-3391,,,,,,,
"LINESTRING (143.2332 -21.63511, 142.87245 -21.41126)",polyline,2565-3791,,,,,,,
"LINESTRING (228.08658 8.52239, 227.77267 8.82457)",polyline,2582-7361,,,,,,,
"LINESTRING (163.76707 27.9047, 163.56706 27.65097)",polyline,2588-5209,,,,,,,
"LINESTRING (223.55785 1.36062, 223.94975 1.09379)",polyline,2589-6127,,,,,,,
"LINESTRING (169.03391 1.73028, 168.5632 1.89052)",polyline,2598-4040,,,,,,,
"LINESTRING (15.00569999999999 37.72645, 15.181820000000016 37.89837)",polyline,2601-5136,,,,,,,
"LINESTRING (267.1951 37.00976, 267.74139 36.77127)",polyline,2606-4796,,,,,,,
"LINESTRING (181.72125 -19.85022, 182.02808 -20.01294)",polyline,2611-3501,,,,,,,
"LINESTRING (341.76703 16.94858, 341.39212 17.2908)",polyline,2624-4198,,,,,,,
"LINESTRING (155.0023 19.85128, 154.90649 19.4438)",polyline,2640-8010,,,,,,,
"LINESTRING (151.91841 38.79215, 151.95906 38.30861)",polyline,2653-5000,,,,,,,
"LINESTRING (111.96136000000001 -28.46586, 111.64521000000002 -28.6067)",polyline,2657-6540,,,,,,,
"LINESTRING (236.55463 -16.76598, 236.82433 -17.08968)",polyline,2658-5644,,,,,,,
"LINESTRING (10.14688000000001 22.80853, 9.961009999999987 23.26086)",polyline,2662-3505,,,,,,,
"LINESTRING (260.70847 -11.86757, 261.17319 -11.94661)",polyline,2664-5712,,,,,,,
"LINESTRING (205.05246 23.39657, 204.62755 23.60133)",polyline,2670-7294,,,,,,,
"LINESTRING (357.86517 47.32751, 357.74094 47.7963)",polyline,2678-6789,,,,,,,
"LINESTRING (338.09824 -15.44098, 338.61108 -15.48875)",polyline,2685-4610,,,,,,,
"LINESTRING (144.04393 49.03, 144.39328 49.40223)",polyline,2701-8672,,,,,,,
"LINESTRING (312.39697 43.22269, 312.91681 43.52943)",polyline,2705-6254,,,,,,,
"LINESTRING (312.39697 43.22269, 312.43527 43.62513)",polyline,2705-6968,,,,,,,
"LINESTRING (345.46716 31.25207, 344.94867 31.1586)",polyline,2707-4028,,,,,,,
"LINESTRING (161.74722 -32.61934, 161.44148 -32.90894)",polyline,2709-8608,,,,,,,
"LINESTRING (316.17944 -2.03125, 316.56229 -2.40839)",polyline,2711-3051,,,,,,,
"LINESTRING (268.84869 7.07988, 268.75821 6.64282)",polyline,2717-5280,,,,,,,
"LINESTRING (322.07501 5.71669, 321.62585 5.52637)",polyline,2725-4317,,,,,,,
"LINESTRING (32.51483000000002 42.39059, 32.09875999999997 42.01719)",polyline,2727-3515,,,,,,,
"LINESTRING (338.17136 -2.50333, 337.78427 -2.56735)",polyline,2746-4507,,,,,,,
"LINESTRING (323.48938 23.85243, 323.10907 24.3029)",polyline,2747-3107,,,,,,,
"LINESTRING (302.79132 24.54389, 302.2085 24.46963)",polyline,2749-3679,,,,,,,
"LINESTRING (303.67664 56.46487, 303.93347 56.90815)",polyline,2761-2979,,,,,,,
"LINESTRING (240.04527 5.11675, 240.13547 4.80027)",polyline,2763-3666,,,,,,,
"LINESTRING (11.536170000000027 13.88733, 10.989350000000002 13.88789)",polyline,2770-2996,,,,,,,
"LINESTRING (34.08694000000003 8.76149, 33.70299 8.49414)",polyline,2788-3220,,,,,,,
"LINESTRING (182.0444 -27.99211, 181.74725 -27.72181)",polyline,2789-5856,,,,,,,
"LINESTRING (151.56654 41.32968, 150.84682 41.31815)",polyline,2794-4133,,,,,,,
"LINESTRING (338.73303 0.08605, 338.67279 -0.39614)",polyline,2797-6362,,,,,,,
"LINESTRING (338.73303 0.08605, 338.29123 0.21851)",polyline,2797-6655,,,,,,,
"LINESTRING (53.70726000000002 21.71227, 53.87272999999999 21.99842)",polyline,2831-8433,,,,,,,
"LINESTRING (53.70726000000002 21.71227, 53.4939 22.10592)",polyline,2831-8550,,,,,,,
"LINESTRING (283.73294 5.00164, 284.12811 4.96862)",polyline,2841-3869,,,,,,,
"LINESTRING (11.078520000000026 21.95617, 10.920889999999986 22.39466)",polyline,2874-7585,,,,,,,
"LINESTRING (7.175749999999994 45.05791, 6.562729999999988 44.95972)",polyline,2877-5492,,,,,,,
"LINESTRING (209.9509 2.52343, 209.71201 2.96953)",polyline,2889-5306,,,,,,,
"LINESTRING (33.35564999999997 4.41978, 33.70292999999998 4.12551)",polyline,2890-4160,,,,,,,
"LINESTRING (142.87897 3.01018, 142.68816 2.64317)",polyline,2897-8362,,,,,,,
"LINESTRING (47.25583999999998 -31.90103, 46.90274999999997 -31.61727)",polyline,2899-5540,,,,,,,
"LINESTRING (28.751170000000002 45.6304, 28.59199000000001 46.14493)",polyline,2902-3748,,,,,,,
"LINESTRING (123.26364999999998 -29.88412, 123.38893999999999 -29.53865)",polyline,2904-6084,,,,,,,
"LINESTRING (247.59819 -6.30358, 247.30292 -5.9935)",polyline,2914-3300,,,,,,,
"LINESTRING (209.13049 22.1868, 208.78053 22.01954)",polyline,2916-6240,,,,,,,
"LINESTRING (351.02686 25.52852, 350.957 25.03514)",polyline,2927-5882,,,,,,,
"LINESTRING (257.59314 22.68459, 257.50351 22.23507)",polyline,2937-6262,,,,,,,
"LINESTRING (23.377580000000023 39.5587, 23.414260000000013 39.93161)",polyline,2963-5012,,,,,,,
"LINESTRING (23.377580000000023 39.5587, 23.938570000000027 39.7079)",polyline,2963-6097,,,,,,,
"LINESTRING (214.43016 35.62975, 214.94994 35.85258)",polyline,2969-6008,,,,,,,
"LINESTRING (46.33882 -2.4262, 46.131489999999985 -2.68459)",polyline,2975-4131,,,,,,,
"LINESTRING (303.61447 48.00207, 304.01309 48.3222)",polyline,2976-7674,,,,,,,
"LINESTRING (313.12708 21.61474, 313.12421 22.02362)",polyline,2986-4837,,,,,,,
"LINESTRING (139.88319 -30.14068, 140.39684 -29.89237)",polyline,2990-4429,,,,,,,
"LINESTRING (194.65437 40.83294, 194.77577 40.49746)",polyline,2994-4063,,,,,,,
"LINESTRING (118.14844 -9.45818, 117.81105 -9.16004)",polyline,2997-7276,,,,,,,
"LINESTRING (118.14844 -9.45818, 118.09971000000002 -9.928)",polyline,2997-8633,,,,,,,
"LINESTRING (314.36218 -4.04408, 314.23343 -4.24421)",polyline,3002-7630,,,,,,,
"LINESTRING (220.39592 55.92563, 220.11176 56.45605)",polyline,3004-3009,,,,,,,
"LINESTRING (163.32877 50.49404, 163.06215 51.00698)",polyline,3021-3436,,,,,,,
"LINESTRING (356.09842 26.5631, 356.22556 26.85333)",polyline,3022-8615,,,,,,,
"LINESTRING (175.40906 17.00781, 175.08771 17.38516)",polyline,3052-3064,,,,,,,
"LINESTRING (180.17047 -56.1153, 179.71146 -56.57763)",polyline,3062-3325,,,,,,,
"LINESTRING (175.08771 17.38516, 175.13126 17.76875)",polyline,3064-4648,,,,,,,
"LINESTRING (316.62335 10.49899, 316.52252 10.81712)",polyline,3074-6000,,,,,,,
"LINESTRING (263.1257 3.72043, 262.67279 3.73282)",polyline,3075-6838,,,,,,,
"LINESTRING (227.65369 4.69746, 227.22559 4.666)",polyline,3076-8518,,,,,,,
"LINESTRING (343.69073 -45.44236, 343.69879 -45.83168)",polyline,3113-7851,,,,,,,
"LINESTRING (81.56537000000003 -19.09246, 81.88058000000001 -19.33827)",polyline,3114-3606,,,,,,,
"LINESTRING (194.71391 39.65472, 194.28323 39.36638)",polyline,3115-4042,,,,,,,
"LINESTRING (245.10455 2.37858, 245.03384 2.83535)",polyline,3118-5147,,,,,,,
"LINESTRING (140.45802 3.12719, 140.41998 3.54029)",polyline,3120-7949,,,,,,,
"LINESTRING (170.14844 -0.14844, 169.91719 0.17089)",polyline,3157-7867,,,,,,,
"LINESTRING (268.07855 11.89032, 267.85312 12.19385)",polyline,3170-3311,,,,,,,
"LINESTRING (281.72015 11.80748, 281.4823 12.22266)",polyline,3182-4092,,,,,,,
"LINESTRING (112.72079 -31.16413, 112.19614000000001 -31.14408)",polyline,3196-3799,,,,,,,
"LINESTRING (253.69531 -4.74219, 253.81914 -5.09232)",polyline,3215-8025,,,,,,,
"LINESTRING (197.89806 26.86234, 197.58449 26.94233)",polyline,3225-7555,,,,,,,
"LINESTRING (186.94756 1.8849, 187.19736 1.59772)",polyline,3239-7791,,,,,,,
"LINESTRING (247.3441 -16.81076, 246.99796 -16.55108)",polyline,3243-7007,,,,,,,
"LINESTRING (209.6964 3.8358, 209.36449 3.60159)",polyline,3248-7850,,,,,,,
"LINESTRING (140.05621 -59.07281, 140.65982 -59.3333)",polyline,3261-3580,,,,,,,
"LINESTRING (242.3028 -1.59267, 242.57689 -1.17272)",polyline,3265-3511,,,,,,,
"LINESTRING (253.72514 -0.08807, 254.00351 0.19351)",polyline,3266-8249,,,,,,,
"LINESTRING (209.33133 1.39415, 209.27872 1.08057)",polyline,3269-3916,,,,,,,
"LINESTRING (209.33133 1.39415, 208.8792 1.39363)",polyline,3269-5884,,,,,,,
"LINESTRING (38.539060000000006 21.07589, 38.61011000000002 21.53387)",polyline,3274-3618,,,,,,,
"LINESTRING (181.19662 -3.87072, 181.3447 -4.25094)",polyline,3275-7366,,,,,,,
"LINESTRING (181.19662 -3.87072, 180.84773 -4.17777)",polyline,3275-7997,,,,,,,
"LINESTRING (135.9185 44.50189, 135.93355 44.90237)",polyline,3285-6798,,,,,,,
"LINESTRING (279.43158 11.35942, 279.04471 11.57268)",polyline,3296-5635,,,,,,,
"LINESTRING (177.52391 14.00377, 177.32812 13.70871)",polyline,3306-7189,,,,,,,
"LINESTRING (161.75977 -10.99272, 162.04274 -11.17992)",polyline,3309-3950,,,,,,,
"LINESTRING (267.85312 12.19385, 267.71265 12.55542)",polyline,3311-5600,,,,,,,
"LINESTRING (222.72987 31.8083, 223.10797 32.03773)",polyline,3314-5454,,,,,,,
"LINESTRING (184.06583 -29.63192, 184.354 -29.83911)",polyline,3319-3440,,,,,,,
"LINESTRING (317.94882 22.83901, 318.38116 22.73307)",polyline,3323-4015,,,,,,,
"LINESTRING (175.32178 -51.58535, 175.08121 -51.30267)",polyline,3324-3630,,,,,,,
"LINESTRING (210.03824 22.94765, 209.62212 23.14023)",polyline,3364-8783,,,,,,,
"LINESTRING (108.19491 12.76027, 107.74227000000002 12.5091)",polyline,3368-3423,,,,,,,
"LINESTRING (191.39816 22.09519, 191.08298 21.75591)",polyline,3376-8641,,,,,,,
"LINESTRING (227.48792 5.2837, 227.74992 5.55523)",polyline,3381-7952,,,,,,,
