1,258.46268,-17.34104,3000
2,255.42629,-16.15224,3000
3,253.50751,-16.68515,3000
4,252.67923,-13.58316,3000
5,256.62163,-11.0286,3000
6,257.82714,-16.43396,3000
7,254.44785,-19.57293,3000
8,255.45867,-20.77737,3000
9,251.77166,-21.9408,3000
10,251.21535,-24.92759,3000
11,256.42855,-21.99538,3000
12,256.83092,-24.79305,3000
13,257.20709,-29.12262,3000
14,252.0016,-28.99438,3000
15,255.08933,-23.20515,3000
16,251.66242,-21.55852,3000
17,254.64528,-21.79712,3000
18,255.08585,-20.57207,3000
19,261.18945,-23.37112,3000
20,263.06015,-23.44307,3000
21,260.70004,-24.10804,3000
22,260.53645,-21.28045,3000
23,262.88469,-27.64968,3000
24,265.08862,-24.61705,3000
25,268.89011,-25.12972,3000
26,268.60578,-24.97108,3000
27,265.68537,-20.39402,3000
28,265.92902,-15.80512,3000
29,266.63999,-11.07257,3000
30,266.92941,-17.20686,3000
31,253.0873,-10.13813,3100
32,256.00319,-15.44326,3100
33,259.16218,-15.15431,3100
34,254.11826,-13.20151,3100
35,267.19123,-24.85962,3100
36,252.9,-11.82737,3200
37,252.9382,-13.83102,3200
38,251.07751,-11.97484,3200
39,253.31695,-14.74164,3200
40,250.23586,-17.94914,3200
41,253.51529,-18.09921,3200
42,257.89817,-17.97184,3200
43,250.7852,-22.84287,3200
44,250.41268,-22.42163,3200
45,256.43851,-26.95714,3200
46,258.75462,-23.18741,3200
47,264.95485,-28.88822,3200
48,267.53704,-22.82813,3200
49,269.22751,-25.30096,3200
50,259.9528,-11.12499,3200
51,258.48201,-15.34771,3300
52,256.69898,-24.48302,3300
53,269.50033,-25.8036,3400
54,250.01624,-17.51562,3500
55,259.77055,-26.10726,3500
56,262.25671,-13.89141,3500
57,255.19928,-17.09729,3600
58,252.71918,-23.73163,3600
59,261.95097,-27.11481,3600
60,261.39773,-27.55729,3600
61,253.95229,-12.41046,3800
62,256.28146,-14.00831,3800
63,252.01441,-12.46274,3800
64,259.33229,-25.99402,3800
65,252.69871,-24.20837,3900
66,254.92521,-13.0501,4000
67,250.90997,-23.10038,4000
68,265.57007,-29.29322,4000
69,258.15882,-15.32823,4100
70,259.44528,-25.36575,4100
71,260.45112,-26.5307,4200
72,257.00051,-27.978,4300
73,252.96521,-12.41276,4400
74,256.00179,-25.3317,4700
75,259.74663,-10.24931,5000
76,269.02486,-17.81576,5100
77,252.05386,-22.23613,5300
78,251.14358,-27.78722,11600
79,263.03803,-19.7397,14900
80,259.09523,-28.74351,16200
