1,124.2, 17.73, 10000.0,1.0,1451.4015866492803
1,124.2, 17.73, 10000.0,1.6,1118.5634517381359
1,124.2, 17.73, 10000.0,2.2,937.5852796640288
1,124.2, 17.73, 10000.0,2.8000000000000003,820.2846103884578
1,124.2, 17.73, 10000.0,3.4000000000000004,736.6011814006301
1,124.2, 17.73, 10000.0,4.0,673.1550515872659
1,124.2, 17.73, 10000.0,4.6,622.9816771111383
1,124.2, 17.73, 10000.0,5.199999999999999,582.0571820633279
1,124.2, 17.73, 10000.0,5.799999999999999,547.8757242582567
1,124.2, 17.73, 10000.0,6.399999999999999,518.7858722110959
1,124.2, 17.73, 10000.0,6.999999999999998,493.64989385649227
